Unnamed: 0,term,pos,definition,domain,plural,plurality_of_term,obsolete,archaic,abbreviation,abbreviation_for_term,slang,misspelling,misspelling_for_term,initialism,initialism_for_term,vulgar,synonym,synonym_for_term,attribute,property,process,matter,role,measure,units,body,main_noun_nltk,main_noun_maria,field
1474,quantum electrodynamics,Noun,the study of the interaction of electromagnetic radiation with electrically charged matter within the framework of relativity and quantum mechanics,physics,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,False,False,False,False,False,study,study,True
1486,quantum gravitation,Noun,The study of quantum fields in curved spacetime.,physics,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,False,False,False,False,False,study,study,True
2774,queer studies,Noun,"The study, based on critical theory, of issues relating to sexual orientation and gender identity, usually focusing on LGBT.",,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,False,False,False,False,False,study,study,True
2855,quellenforschung,Noun,"The study of the sources of, or influences upon, a literary work.",,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,False,False,False,False,False,study,study,True
3213,queueing theory,Noun,"The study of the behaviour of queues, and of stochastic processes modelled on them.",mathematics,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,False,False,False,False,False,study,study,True
4020,quinology,Noun,The science of the cultivation of cinchona and its use in medicine as quinine.,,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,False,False,False,False,False,science,science,True
721,zenography,Noun,The study of the planet Jupiter.,,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,False,False,False,False,False,study,study,True
2262,zooarchaeology,Noun,The study of animal remains at archaeological sites.,,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,False,False,False,False,False,study,study,True
2347,zoogeography,Noun,The scientific study of the geographical distribution of animal species.,,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,False,False,False,False,False,study,study,True
2556,zoonosology,Noun,The study of animal disease,,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,False,False,False,False,False,study,study,True
2664,zoopsychology,Noun,The study of psychology in animals.,,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,False,False,False,False,False,study,study,True
2681,zoosemiotics,Noun,The study of animal communication.,,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,False,False,False,False,False,study,study,True
